SHVV,SHVW,SHVN,LLVV,LLVW,N,D
3000,0.1,1,500,30,60,15.793333333333331
3000,0.1,4,1500,10,100,28.406666666666666
3000,0.1,7,500,20,20,10.666666666666666
3000,0.3,2,800,40,80,24.159999999999997
4000,0.5,7,500,20,60,19.73
5000,0.1,2,1000,30,30,22.116666666666664
5000,0.1,3,700,10,20,10.666666666666666
5000,0.2,1,800,20,40,16.76
5000,0.2,1,800,40,20,16.959999999999997
5000,0.2,1,1200,20,20,17.436666666666667
5000,0.2,1,1200,40,40,28.373333333333335
5000,0.2,4,800,20,20,14.18
5000,0.2,4,800,40,40,20.326666666666664
5000,0.2,4,1200,20,40,22.590000000000003
5000,0.2,4,1200,40,20,24.916666666666668
5000,0.3,0,1000,30,30,20.900000000000002
5000,0.3,2,500,30,30,12.833333333333334
5000,0.3,2,1000,10,30,16.506666666666664
5000,0.3,2,1000,30,10,14.300000000000002
5000,0.3,2,1000,30,30,21.83888888888889
5000,0.3,2,1000,30,50,24.996666666666666
5000,0.3,2,1000,50,30,23.343333333333334
5000,0.3,2,1500,30,30,23.286666666666665
5000,0.3,8,1000,30,30,24.48
5000,0.4,1,800,20,20,15.636666666666665
5000,0.4,1,800,40,40,19.61
5000,0.4,1,1200,20,40,23.616666666666664
5000,0.4,1,1200,40,20,26.22
5000,0.4,4,800,20,40,19.8
5000,0.4,4,800,40,20,21.156666666666666
5000,0.4,4,1200,20,20,19.69
5000,0.4,4,1200,40,40,30.393333333333334
5000,0.5,2,1000,30,30,22.399999999999995
